Abbreviation	Description	Neutral formula	Charged formula	Charge	Compartment	KEGG ID	PubChem ID	ChEBI ID	InChI String	SMILES	Notes
C00001	H2O	H2O	H2O	0	c						
C00001[e]	H2O	H2O	H2O	0	e						
C00002	ATP	C10H13N5O13P3	C10H13N5O13P3	-3	c						
C00003	NAD	C21H26N7O14P2	C21H26N7O14P2	-1	c						
C00003[e]	NAD	C21H26N7O14P2	C21H26N7O14P2	-1	e						
C00004	NADH	C21H27N7O14P2	C21H27N7O14P2	-2	c						
C00005	NADPH	C21H26N7O17P3	C21H26N7O17P3	-4	c						
C00006	NADP	C21H25N7O17P3	C21H25N7O17P3	-3	c						
C00006[e]	NADP	C21H25N7O17P3	C21H25N7O17P3	-3	e						
C00008	ADP	C10H13N5O10P2	C10H13N5O10P2	-2	c						
C00009	Phosphate	HO4P	HO4P	-2	c						
C00009[e]	Phosphate	HO4P	HO4P	-2	e						
C00010	CoA	C21H32N7O16P3S	C21H32N7O16P3S	-4	c						
C00011	CO2	CO2	CO2	0	c						
C00011[e]	CO2	CO2	CO2	0	e						
C00013	PPi	HO7P2	HO7P2	-3	c						
C00014	Ammonium	H4N	H4N	1	c						
C00014[e]	Ammonium	H4N	H4N	1	e						
C00015	UDP	C9H12N2O12P2	C9H12N2O12P2	-2	c						
C00016	FAD	C27H31N9O15P2	C27H31N9O15P2	-2	c						
C00019	S-Adenosyl-L-methionine	C15H23N6O5S	C15H23N6O5S	1	c						
C00020	AMP	C10H12N5O7P	C10H12N5O7P	-2	c						
C00021	S-Adenosyl-homocysteine	C14H20N6O5S	C14H20N6O5S	0	c						
C00022	Pyruvate	C3H3O3	C3H3O3	-1	c						
C00024	Acetyl-CoA	C23H34N7O17P3S	C23H34N7O17P3S	-4	c						
C00025	L-Glutamate	C5H8NO4	C5H8NO4	-1	c						
C00025[e]	L-Glutamate	C5H8NO4	C5H8NO4	-1	e						
C00026	2-Oxoglutarate	C5H4O5	C5H4O5	-2	c						
C00029	UDP-glucose	C15H22N2O17P2	C15H22N2O17P2	-2	c						
C00031	D-Glucose	C6H12O6	C6H12O6	0	c						
C00031[e]	D-Glucose	C6H12O6	C6H12O6	0	e						
C00033	Acetate	C2H3O2	C2H3O2	-1	c						
C00033[e]	Acetate	C2H3O2	C2H3O2	-1	e						
C00034	Mn2+	Mn	Mn	2	c						
C00034[e]	Mn2+	Mn	Mn	2	e						
C00035	GDP	C10H13N5O11P2	C10H13N5O11P2	-2	c						
C00036	Oxaloacetate	C4H2O5	C4H2O5	-2	c						
C00037	Glycine	C2H5NO2	C2H5NO2	0	c						
C00037[e]	Glycine	C2H5NO2	C2H5NO2	0	e						
C00041	L-Alanine	C3H7NO2	C3H7NO2	0	c						
C00041[e]	L-Alanine	C3H7NO2	C3H7NO2	0	e						
C00042	Succinate	C4H4O4	C4H4O4	-2	c						
C00043	UDP-N-acetylglucosamine	C17H25N3O17P2	C17H25N3O17P2	-2	c						
C00044	GTP	C10H13N5O14P3	C10H13N5O14P3	-3	c						
C00047	L-Lysine	C6H15N2O2	C6H15N2O2	1	c						
C00047[e]	L-Lysine	C6H15N2O2	C6H15N2O2	1	e						
C00049	L-Aspartate	C4H6NO4	C4H6NO4	-1	c						
C00049[e]	L-Aspartate	C4H6NO4	C4H6NO4	-1	e						
C00051	Reduced glutathione	C10H16N3O6S	C10H16N3O6S	-1	c						
C00052	UDP-galactose	C15H22N2O17P2	C15H22N2O17P2	-2	c						
C00053	3-phosphoadenylyl sulfate	C10H11N5O13P2S	C10H11N5O13P2S	-4	c						
C00054	Adenosine 3-5-bisphosphate	C10H11N5O10P2	C10H11N5O10P2	-4	c						
C00055	CMP	C9H12N3O8P	C9H12N3O8P	-2	c						
C00058	Formate	CHO2	CHO2	-1	c						
C00058[e]	Formate	CHO2	CHO2	-1	e						
C00059	Sulfate	O4S	O4S	-2	c						
C00059[e]	Sulfate	O4S	O4S	-2	e						
C00061	FMN	C17H19N4O9P	C17H19N4O9P	-2	c						
C01847	FMNH2	C17H21N4O9P	C17H21N4O9P	-2	c						
C00062	L-Arginine	C6H15N4O2	C6H15N4O2	1	c						
C00062[e]	L-Arginine	C6H15N4O2	C6H15N4O2	1	e						
C00063	CTP	C9H13N3O14P3	C9H13N3O14P3	-3	c						
C00064	L-Glutamine	C5H10N2O3	C5H10N2O3	0	c						
C00064[e]	L-Glutamine	C5H10N2O3	C5H10N2O3	0	e						
C00065	L-Serine	C3H7NO3	C3H7NO3	0	c						
C00065[e]	L-Serine	C3H7NO3	C3H7NO3	0	e						
C00068	Thiamine diphosphate	C12H17N4O7P2S	C12H17N4O7P2S	-1	c						
C00072[e]	L-Ascorbate	C6H7O6	C6H7O6	-1	e						
C00073	L-Methionine	C5H11NO2S	C5H11NO2S	0	c						
C00073[e]	L-Methionine	C5H11NO2S	C5H11NO2S	0	e						
C00074	Phosphoenolpyruvate	C3H2O6P	C3H2O6P	-3	c						
